Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,year,Amount in Millions
Aqgromalin,2019.0,Chennai,Technology,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Series,2020,0.2
Krayonnz,2019.0,Bangalore,Technology,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-seed,2020,0.1
PadCare Labs,2018.0,Pune,Other,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-seed,2020,3.0
NCOME,2020.0,New Delhi,Other,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Series,2020,0.4
Gramophone,2016.0,Hyderabad,Technology,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Series,2020,0.34
qZense,2019.0,Bangalore,Technology,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020,0.6
MyClassboard,2008.0,Hyderabad,Technology,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Series,2020,0.6
Metvy,2018.0,Hyderabad,Services,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Pre-Series,2020,3.0
Rupeek,2015.0,Bangalore,Technology,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Series,2020,45.0
Gig India,2017.0,Pune,Services,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Series,2020,1.0
Slurrp Farm,2016.0,Gurugram,Technology,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series,2020,2.0
Medfin,2017.0,Bangalore,Technology,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series,2020,3.0
MasterG,2015.0,New Delhi,Technology,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Series,2020,3.0
Brila 91,2014.0,New Delhi,Technology,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Series,2020,1.2
FoodyBuddy,2015.0,Bangalore,"Food, Hospitality, Tourism & Travel",FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Series,2020,0.6
Zomato,2008.0,Gurugram,E-Commerce & Retail,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Series,2020,660.0
OurEye.ai,2020.0,Bangalore,Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Series,2020,0.12
Shiprocket,2017.0,New Delhi,E-Commerce & Retail,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series,2020,7.5
Pine Labs,1998.0,Noida,Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Series,2020,3.0
Moneyboxx Finance,2019.0,New Delhi,Technology,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Series,2020,1.0
